# Energy	Branching ratio
0.0195900	0.61
0.1857100	0.572
0.0256460	0.1412
0.1437600	0.1098
0.0842160	0.066
0.1633800	0.0508
0.20053090	0.0501
0.0899600	0.039
0.1089900	0.0154
0.2021100	0.0108
0.0812270	0.008976
0.0643500	0.0065
0.1949400	0.0063
0.0265500	0.00054
0.0585700	0.0048
0.1022680	0.004363
0.0820870	0.004
0.1825200	0.0034
0.0727510	0.00251
0.0191000	0.002442
