# Energy	Branching ratio
0.0632900	0.0485
0.0923800	0.02812
0.0928000	0.02771
0.0435000	0.009784
1.0009900	0.00837
0.7663700	0.00294
0.1128000	0.002772
0.7427700	0.0008
0.0833000	0.000792
0.2582600	0.0007288
0.0495500	0.00064
0.7862500	0.000485
0.9459000	0.0003345
0.1313000	0.0002884
0.8832400	0.0002299
1.7377300	0.0002117
0.0628600	0.0002112
0.9266100	0.0001917
0.0870200	0.0001914
1.8313600	0.000172
